name	x	y	z	size	group	hemisphere	type	tal.x	tal.y	tal.z	wb.region	ind.region
LY1	-35.8747	-3.70447	-4.019259031945	-999	LY	L	depth	-30.7194	-7.06585	-0.903013	Left Cerebral White Matter	insula
LY2	-35.4961	-0.973464	0.990535411891479	-999	LY	L	depth	-29.877	-2.56173	4.38326	Left Cerebral White Matter	insula
LY3	-35.9711	2.64174	7.87426674291511	-999	LY	L	depth	-29.0577	1.52321	10.9805	Left AIns anterior insula	insula
LY4	-35.762	5.99774	12.2383828129526	-999	LY	L	depth	-27.5919	6.47604	15.2061	Left AIns anterior insula	insula
LY6	-32.934	13.8421	21.7380273493352	-999	LY	L	depth	-25.929	16.0962	25.9653	Left Cerebral White Matter	parsopercularis
LY7	-33.2035	18.1465	25.923097400439	-999	LY	L	depth	-25.0413	20.4313	30.2315	Left MFG middle frontal gyrus	caudalmiddlefrontal
LY9	-32.2362	27.7321	40.3258851640487	-999	LY	L	depth	-23.3784	30.0514	40.9906	Left Cerebral White Matter	rostralmiddlefrontal
LY10	-33.8142	30.9706	44.9046865377123	-999	LY	L	depth	-23.7143	33.9261	46.4258	Left MFG middle frontal gyrus	rostralmiddlefrontal
LQ1	-1.43657	22.1953	29.6508196132512	-999	LQ	L	depth	4.03638	19.2052	25.1896	Left MCgG middle cingulate gyrus	caudalanteriorcingulate
LQ2	-5.43948	21.9337	30.4045307020494	-999	LQ	L	depth	0.301044	20.649	27.2947	Left MCgG middle cingulate gyrus	caudalanteriorcingulate
LQ3	-10.1162	20.1741	31.7648635944171	-999	LQ	L	depth	-4.03573	21.05	30.6325	Left SMC supplementary motor cortex	superiorfrontal
LQ4	-14.2125	21.2347	33.9234047948101	-999	LQ	L	depth	-7.81626	22.6688	33.8771	Left Cerebral White Matter	superiorfrontal
LQ6	-22.1146	21.7335	36.5223959841868	-999	LQ	L	depth	-14.6208	23.774	38.2561	Left MFG middle frontal gyrus	caudalmiddlefrontal
LQ7	-27.8945	23.7506	40.1317477503292	-999	LQ	L	depth	-17.8011	25.4104	41.5121	Left MFG middle frontal gyrus	caudalmiddlefrontal
LQ8	-33.7114	24.6183	42.4544351834432	-999	LQ	L	depth	-21.5365	26.8541	43.6175	Left Cerebral White Matter	caudalmiddlefrontal
LQ9	-37.2166	26.2904	46.4545390546189	-999	LQ	L	depth	-24.7169	28.4905	46.8736	Left MFG middle frontal gyrus	caudalmiddlefrontal
LQ10	-39.351	27.703	49.2488729148018	-999	LQ	L	depth	-28.4974	30.1092	50.1182	n/a	caudalmiddlefrontal
LS1	-1.23351	2.96963	52.6950008989894	-999	LS	L	depth	4.50398	3.77056	47.3298	n/a	superiorfrontal
LS2	-5.94421	4.32149	52.8819902919354	-999	LS	L	depth	0.191733	5.6218	48.232	Left SMC supplementary motor cortex	superiorfrontal
LS3	-9.98723	5.19377	51.6561954202247	-999	LS	L	depth	-4.05338	6.6981	48.0472	Left Cerebral White Matter	superiorfrontal
LS4	-14.6089	6.93077	52.0373190375459	-999	LS	L	depth	-7.74348	7.967	49.0133	Left Cerebral White Matter	superiorfrontal
LS5	-19.8681	7.28933	51.901772130082	-999	LS	L	depth	-12.0336	9.21823	49.9678	Left Cerebral White Matter	superiorfrontal
LS6	-22.8326	8.16494	51.0033242119598	-999	LS	L	depth	-16.3228	11.4946	49.6785	Left SFG superior frontal gyrus	superiorfrontal
LS7	-28.0647	8.61071	51.3997565771428	-999	LS	L	depth	-21.1912	12.1281	50.6738	n/a	caudalmiddlefrontal
LS8	-31.4216	10.1113	52.3804457150862	-999	LS	L	depth	-24.2811	13.4147	51.6512	Left MFG middle frontal gyrus	caudalmiddlefrontal
LS9	-37.6668	12.294	51.6095961757453	-999	LS	L	depth	-29.1703	15.6733	51.3504	Left Cerebral White Matter	caudalmiddlefrontal
LS10	-42.1783	14.1722	52.7807031764632	-999	LS	L	depth	-33.4606	16.9245	52.305	n/a	caudalmiddlefrontal
