name	x	y	z	size	group	hemisphere	type	tal.x	tal.y	tal.z	wb.region	ind.region	das.region	stein.region
LGRD1	n/a	n/a	n/a	-999	LGRD	n/a	grid	-40.4065	56.0243	15.8437	n/a	rostralmiddlefrontal	n/a	n/a
LGRD2	n/a	n/a	n/a	-999	LGRD	n/a	grid	-40.8559	47.2904	21.2691	n/a	rostralmiddlefrontal	n/a	n/a
LGRD3	n/a	n/a	n/a	-999	LGRD	n/a	grid	-41.5968	37.1269	25.0941	n/a	rostralmiddlefrontal	n/a	n/a
LGRD4	n/a	n/a	n/a	-999	LGRD	n/a	grid	-42.0469	27.9588	29.5819	n/a	rostralmiddlefrontal	n/a	n/a
LGRD5	n/a	n/a	n/a	-999	LGRD	n/a	grid	-43.9284	19.3618	32.6413	n/a	rostralmiddlefrontal	n/a	n/a
LGRD6	n/a	n/a	n/a	-999	LGRD	n/a	grid	-44.0383	9.34272	37.5452	n/a	caudalmiddlefrontal	n/a	n/a
LGRD7	n/a	n/a	n/a	-999	LGRD	n/a	grid	-44.9994	1.01674	40.4712	n/a	precentral	n/a	n/a
LGRD8	n/a	n/a	n/a	-999	LGRD	n/a	grid	-46.6607	-9.41771	44.4296	n/a	precentral	n/a	n/a
LGRD9	n/a	n/a	n/a	-999	LGRD	n/a	grid	-43.5132	52.5877	8.32668	n/a	rostralmiddlefrontal	n/a	n/a
LGRD10	n/a	n/a	n/a	-999	LGRD	n/a	grid	-43.9632	43.4196	12.8145	n/a	rostralmiddlefrontal	n/a	n/a
LGRD11	n/a	n/a	n/a	-999	LGRD	n/a	grid	-45.9649	33.8361	16.3569	n/a	rostralmiddlefrontal	n/a	n/a
LGRD12	n/a	n/a	n/a	-999	LGRD	n/a	grid	-47.675	25.6822	21.4996	n/a	rostralmiddlefrontal	n/a	n/a
LGRD13	n/a	n/a	n/a	-999	LGRD	n/a	grid	-48.2959	16.5052	24.8418	n/a	parsopercularis	n/a	n/a
LGRD14	n/a	n/a	n/a	-999	LGRD	n/a	grid	-48.9166	7.32829	28.1839	n/a	precentral	n/a	n/a
LGRD15	n/a	n/a	n/a	-999	LGRD	n/a	grid	-49.8277	-2.40965	31.8007	n/a	precentral	n/a	n/a
LGRD16	n/a	n/a	n/a	-999	LGRD	n/a	grid	-51.3689	-11.8576	35.2763	n/a	precentral	n/a	n/a
LGRD17	n/a	n/a	n/a	-999	LGRD	n/a	grid	-46.2834	45.7035	-4.21688	n/a	parstriangularis	n/a	n/a
LGRD18	n/a	n/a	n/a	-999	LGRD	n/a	grid	-45.9318	36.6794	2.31244	n/a	parstriangularis	n/a	n/a
LGRD19	n/a	n/a	n/a	-999	LGRD	n/a	grid	-48.7326	28.68	7.38077	n/a	parstriangularis	n/a	n/a
LGRD20	n/a	n/a	n/a	-999	LGRD	n/a	grid	-51.3633	20.2551	12.6572	n/a	parsopercularis	n/a	n/a
LGRD21	n/a	n/a	n/a	-999	LGRD	n/a	grid	-51.9828	11.9467	17.8746	n/a	parsopercularis	n/a	n/a
LGRD22	n/a	n/a	n/a	-999	LGRD	n/a	grid	-51.6819	3.90937	22.9584	n/a	precentral	n/a	n/a
LGRD23	n/a	n/a	n/a	-999	LGRD	n/a	grid	-52.5911	-4.52559	29.3883	n/a	precentral	n/a	n/a
LGRD24	n/a	n/a	n/a	-999	LGRD	n/a	grid	-51.9499	-13.4138	34.8883	n/a	postcentral	n/a	n/a
LGRD25	n/a	n/a	n/a	-999	LGRD	n/a	grid	-46.5297	39.4255	-11.8709	n/a	parstriangularis	n/a	n/a
LGRD26	n/a	n/a	n/a	-999	LGRD	n/a	grid	-46.5184	31.2359	-6.08514	n/a	parstriangularis	n/a	n/a
LGRD27	n/a	n/a	n/a	-999	LGRD	n/a	grid	-48.0585	22.6352	-1.16112	n/a	parstriangularis	n/a	n/a
LGRD28	n/a	n/a	n/a	-999	LGRD	n/a	grid	-51.0287	15.4954	4.63416	n/a	parsopercularis	n/a	n/a
LGRD29	n/a	n/a	n/a	-999	LGRD	n/a	grid	-53.8295	7.49594	9.70248	n/a	precentral	n/a	n/a
LGRD30	n/a	n/a	n/a	-999	LGRD	n/a	grid	-55.8298	-1.21888	15.1202	n/a	precentral	n/a	n/a
LGRD31	n/a	n/a	n/a	-999	LGRD	n/a	grid	-56.2792	-9.95269	20.5456	n/a	postcentral	n/a	n/a
LGRD32	n/a	n/a	n/a	-999	LGRD	n/a	grid	-56.8989	-18.2611	25.7631	n/a	postcentral	n/a	n/a
LGRD33	n/a	n/a	n/a	-999	LGRD	n/a	grid	-49.6731	14.6056	-20.6036	n/a	superiortemporal	n/a	n/a
LGRD34	n/a	n/a	n/a	-999	LGRD	n/a	grid	-50.4609	7.99315	-13.4312	n/a	superiortemporal	n/a	n/a
LGRD35	n/a	n/a	n/a	-999	LGRD	n/a	grid	-53.6	2.11647	-6.58814	n/a	superiortemporal	n/a	n/a
LGRD36	n/a	n/a	n/a	-999	LGRD	n/a	grid	-57.1987	-3.46105	1.26573	n/a	superiortemporal	n/a	n/a
LGRD37	n/a	n/a	n/a	-999	LGRD	n/a	grid	-59.2472	-9.46104	8.80547	n/a	superiortemporal	n/a	n/a
LGRD38	n/a	n/a	n/a	-999	LGRD	n/a	grid	-58.9444	-16.1955	16.7023	n/a	postcentral	n/a	n/a
LGRD39	n/a	n/a	n/a	-999	LGRD	n/a	grid	-57.7218	-23.0931	23.528	n/a	supramarginal	n/a	n/a
LGRD40	n/a	n/a	n/a	-999	LGRD	n/a	grid	-56.3283	-29.982	31.4994	n/a	supramarginal	n/a	n/a
LGRD41	n/a	n/a	n/a	-999	LGRD	n/a	grid	-50.1589	6.78104	-26.5124	n/a	middletemporal	n/a	n/a
LGRD42	n/a	n/a	n/a	-999	LGRD	n/a	grid	-53.128	0.478033	-19.4775	n/a	superiortemporal	n/a	n/a
LGRD43	n/a	n/a	n/a	-999	LGRD	n/a	grid	-55.8062	-4.83271	-11.8415	n/a	middletemporal	n/a	n/a
LGRD44	n/a	n/a	n/a	-999	LGRD	n/a	grid	-58.9453	-10.7094	-4.99842	n/a	superiortemporal	n/a	n/a
LGRD45	n/a	n/a	n/a	-999	LGRD	n/a	grid	-60.0733	-16.4647	1.88193	n/a	superiortemporal	n/a	n/a
LGRD46	n/a	n/a	n/a	-999	LGRD	n/a	grid	-61.6115	-23.7411	10.046	n/a	superiortemporal	n/a	n/a
LGRD47	n/a	n/a	n/a	-999	LGRD	n/a	grid	-60.218	-30.6299	18.0174	n/a	superiortemporal	n/a	n/a
LGRD48	n/a	n/a	n/a	-999	LGRD	n/a	grid	-58.9948	-37.0934	25.7806	n/a	supramarginal	n/a	n/a
LGRD49	n/a	n/a	n/a	-999	LGRD	n/a	grid	-45.4644	-0.282356	-36.9617	n/a	fusiform	n/a	n/a
LGRD50	n/a	n/a	n/a	-999	LGRD	n/a	grid	-50.0349	-5.58186	-31.4256	n/a	inferiortemporal	n/a	n/a
LGRD51	n/a	n/a	n/a	-999	LGRD	n/a	grid	-54.4348	-10.8775	-24.8432	n/a	inferiortemporal	n/a	n/a
LGRD52	n/a	n/a	n/a	-999	LGRD	n/a	grid	-58.3737	-15.6073	-17.4678	n/a	middletemporal	n/a	n/a
LGRD53	n/a	n/a	n/a	-999	LGRD	n/a	grid	-60.4216	-21.2085	-9.70153	n/a	middletemporal	n/a	n/a
LGRD54	n/a	n/a	n/a	-999	LGRD	n/a	grid	-62.6396	-26.3835	-2.12719	n/a	middletemporal	n/a	n/a
LGRD55	n/a	n/a	n/a	-999	LGRD	n/a	grid	-63.5968	-32.12	6.09725	n/a	bankssts	n/a	n/a
LGRD56	n/a	n/a	n/a	-999	LGRD	n/a	grid	-63.0032	-37.8592	14.657	n/a	superiortemporal	n/a	n/a
LGRD57	n/a	n/a	n/a	-999	LGRD	n/a	grid	-37.6319	-8.31465	-36.4952	n/a	fusiform	n/a	n/a
LGRD58	n/a	n/a	n/a	-999	LGRD	n/a	grid	-44.555	-13.7386	-32.9973	n/a	fusiform	n/a	n/a
LGRD59	n/a	n/a	n/a	-999	LGRD	n/a	grid	-51.1367	-19.1549	-27.4068	n/a	inferiortemporal	n/a	n/a
LGRD60	n/a	n/a	n/a	-999	LGRD	n/a	grid	-57.0879	-24.8617	-21.6859	n/a	inferiortemporal	n/a	n/a
