name	x	y	z	size	group	hemisphere	type	tal.x	tal.y	tal.z	ind.region	stein.region
RG1	43.7976	-0.392679	-48.089991754717	-999	RG	R	grid	40.9133	0.952121	-44.329	inferiortemporal	n/a
RG2	55.2403	-6.61386	-43.1071471157618	-999	RG	R	grid	48.5978	-4.95341	-38.4852	inferiortemporal	n/a
RG3	59.235	-14.002	-37.7107216592168	-999	RG	R	grid	51.4948	-10.6749	-30.9233	inferiortemporal	n/a
RG4	65.3764	-20.4115	-29.5911486626173	-999	RG	R	grid	55.9145	-16.1747	-23.2855	inferiortemporal	n/a
RG5	70.8905	-28.6597	-23.398097187669	-999	RG	R	grid	58.4037	-23.3239	-14.4471	middletemporal	n/a
RG6	73.571	-34.6943	-13.0834566908096	-999	RG	R	grid	60.5937	-27.9326	-6.07853	middletemporal	n/a
RG7	73.6408	-38.9688	0.362528027903675	-999	RG	R	grid	60.9927	-34.8653	2.64262	bankssts	n/a
RG8	70.779	-44.2469	9.76976165411497	-999	RG	R	grid	61.1327	-40.0638	12.8901	middletemporal	n/a
RG9	49.9359	7.08487	-45.5941771462193	-999	RG	R	grid	45.7689	9.80449	-40.2423	inferiortemporal	n/a
RG10	57.8261	1.16135	-40.8266921902673	-999	RG	R	grid	50.7759	4.20815	-33.599	inferiortemporal	n/a
RG11	63.2109	-5.53928	-33.4727352946792	-999	RG	R	grid	54.1206	-0.931307	-26.1059	middletemporal	n/a
RG12	68.8925	-11.7399	-25.46254365994	-999	RG	R	grid	56.55	-7.57242	-17.3614	middletemporal	n/a
RG13	71.8618	-19.453	-15.734750923988	-999	RG	R	grid	58.8598	-13.1974	-8.80485	middletemporal	n/a
RG14	74.1328	-27.0886	-3.76516238328963	-999	RG	R	grid	59.3185	-20.642	-0.0674949	superiortemporal	n/a
RG15	71.2799	-30.8203	7.32085379701473	-999	RG	R	grid	60.4935	-25.3652	8.91343	superiortemporal	n/a
RG16	70.6084	-38.177	14.9071465290813	-999	RG	R	grid	60.8924	-32.2625	18.345	bankssts	n/a
RG17	53.1355	18.0998	-35.4643067171541	-999	RG	R	grid	48.7828	19.1172	-32.1518	middletemporal	n/a
RG18	57.7768	12.1006	-30.5542815404696	-999	RG	R	grid	52.1875	13.4696	-24.5646	middletemporal	n/a
RG19	63.5846	3.65796	-18.5580346753282	-999	RG	R	grid	52.6661	6.36246	-16.9411	middletemporal	n/a
RG20	66.3712	-3.29512	-10.0224412372458	-999	RG	R	grid	54.0205	0.0817004	-8.3412	superiortemporal	n/a
RG21	69.1185	-9.57108	-1.42315715248775	-999	RG	R	grid	56.5295	-6.7299	-0.616566	superiortemporal	n/a
RG22	68.8065	-18.9193	8.11691031425285	-999	RG	R	grid	58.0034	-13.9913	8.88098	superiortemporal	n/a
RG23	70.014	-26.7813	14.7035523201992	-999	RG	R	grid	57.3472	-20.1963	16.9377	superiortemporal	n/a
RG24	69.538	-32.6214	21.5425746680039	-999	RG	R	grid	58.7614	-26.9454	26.4252	supramarginal	n/a
RG25	47.4449	23.8235	-28.9029012311201	-999	RG	R	grid	46.4326	26.768	-26.2854	superiortemporal	n/a
RG26	55.9551	17.6051	-22.4141331649977	-999	RG	R	grid	49.8174	20.7827	-17.5842	superiortemporal	n/a
RG27	60.9008	9.42033	-11.9812281152952	-999	RG	R	grid	51.1915	14.8397	-10.0982	superiortemporal	n/a
RG28	65.9302	2.46782	-2.8580262151699	-999	RG	R	grid	52.6056	8.05079	-1.40424	superiortemporal	n/a
RG29	67.1924	-0.976626	4.96533618853121	-999	RG	R	grid	55.0549	1.77735	6.82615	superiortemporal	n/a
RG30	68.928	-6.86287	15.0078776325872	-999	RG	R	grid	56.5487	-5.14709	15.1961	postcentral	n/a
RG31	69.857	-17.7305	21.5161269383096	-999	RG	R	grid	57.9828	-11.5638	23.4656	supramarginal	n/a
RG32	69.2098	-24.7102	28.3556471191214	-999	RG	R	grid	57.3665	-18.6091	32.8411	supramarginal	n/a
RG33	65.9732	8.62209	13.1488750195792	-999	RG	R	grid	52.3459	12.5046	12.6832	precentral	n/a
RG34	66.8526	0.916898	22.7831596741436	-999	RG	R	grid	54.0988	3.88149	20.2371	precentral	n/a
RG35	65.1976	-4.73126	29.6426931827124	-999	RG	R	grid	55.5926	-3.04299	28.6071	precentral	n/a
RG36	64.696	-17.2264	37.9920900372161	-999	RG	R	grid	55.3152	-11.9623	36.049	postcentral	n/a
RG37	61.4851	-22.8503	45.4107511073362	-999	RG	R	grid	56.8886	-19.062	43.3013	supramarginal	n/a
RG38	59.511	-31.3282	50.2416107782522	-999	RG	R	grid	56.5514	-27.4736	50.6427	supramarginal	n/a
RG39	56.7589	-42.4767	54.4460789790302	-999	RG	R	grid	54.2036	-35.8487	56.6536	supramarginal	n/a
RG40	46.2411	-51.2317	62.4193592727206	-999	RG	R	grid	49.9252	-44.3628	60.2167	supramarginal	n/a
RG41	65.0625	7.84612	25.3979975740332	-999	RG	R	grid	51.1903	17.3048	23.2559	precentral	n/a
RG42	64.1273	4.62089	32.2742023550396	-999	RG	R	grid	51.7686	10.3894	29.2341	precentral	n/a
RG43	61.0985	-0.609956	37.9387350044507	-999	RG	R	grid	53.342	3.28959	36.4864	precentral	n/a
RG44	59.1785	-7.67262	44.7179857156716	-999	RG	R	grid	53.9004	-3.9583	43.6828	postcentral	n/a
RG45	56.4101	-17.2837	51.5519172939739	-999	RG	R	grid	54.6381	-12.7296	51.1807	postcentral	n/a
RG46	55.4478	-26.7032	56.2280116411711	-999	RG	R	grid	53.1661	-20.2734	58.2648	postcentral	n/a
RG47	51.6203	-37.4886	59.452671110033	-999	RG	R	grid	48.788	-28.9447	64.1636	postcentral	n/a
RG48	40.9417	-43.0557	68.1454884936237	-999	RG	R	grid	43.1063	-38.6965	67.8437	superiorparietal	n/a
RG49	23.4065	65.3811	-14.6557253720402	-999	RG	R	grid	25.9522	71.2046	-12.4276	rostralmiddlefrontal	n/a
RG50	34.5388	62.5012	-7.68215207261685	-999	RG	R	grid	34.4125	67.4793	-6.90936	rostralmiddlefrontal	n/a
RG51	47.0217	58.0486	-2.31981552698989	-999	RG	R	grid	41.6092	61.8418	-2.12009	rostralmiddlefrontal	n/a
RG52	51.6437	51.6745	2.61770267377505	-999	RG	R	grid	45.3724	54.6872	3.00932	parsorbitalis	n/a
RG53	54.2545	39.7237	13.0725837259728	-999	RG	R	grid	47.4043	44.6978	8.52921	parstriangularis	n/a
RG54	60.5876	28.9156	16.6296381660896	-999	RG	R	grid	48.2415	36.0838	13.6913	rostralmiddlefrontal	n/a
RG55	61.6512	22.8916	22.0033193822299	-999	RG	R	grid	50.1538	27.1098	19.0102	parsopercularis	n/a
