name	x	y	z	size	group	hemisphere	type	tal.x	tal.y	tal.z	wb.region	ind.region
LG1	n/a	n/a	n/a	-999	LG	n/a	grid	-56.557	-55.5328	26.8582	n/a	supramarginal
LG2	n/a	n/a	n/a	-999	LG	n/a	grid	-61.7621	-46.0991	21.6177	n/a	supramarginal
LG3	n/a	n/a	n/a	-999	LG	n/a	grid	-63.5524	-37.0978	17.643	n/a	middletemporal
LG4	n/a	n/a	n/a	-999	LG	n/a	grid	-65.4216	-27.3846	12.3016	n/a	superiortemporal
LG5	n/a	n/a	n/a	-999	LG	n/a	grid	-65.0294	-18.009	7.05827	n/a	superiortemporal
LG6	n/a	n/a	n/a	-999	LG	n/a	grid	-62.3758	-8.97094	1.9128	n/a	superiortemporal
LG7	n/a	n/a	n/a	-999	LG	n/a	grid	-57.4234	-0.781394	-2.70867	n/a	middletemporal
LG8	n/a	n/a	n/a	-999	LG	n/a	grid	-52.5457	8.46354	-7.5093	n/a	superiortemporal
LG9	n/a	n/a	n/a	-999	LG	n/a	grid	-55.6279	-48.9363	36.1973	n/a	supramarginal
LG10	n/a	n/a	n/a	-999	LG	n/a	grid	-61.7952	-41.6915	31.6508	n/a	supramarginal
LG11	n/a	n/a	n/a	-999	LG	n/a	grid	-64.7765	-32.0715	26.3433	n/a	supramarginal
LG12	n/a	n/a	n/a	-999	LG	n/a	grid	-65.4588	-23.3129	21.2985	n/a	supramarginal
LG13	n/a	n/a	n/a	-999	LG	n/a	grid	-63.9505	-13.5081	17.0579	n/a	postcentral
LG14	n/a	n/a	n/a	-999	LG	n/a	grid	-60.1849	-4.377	11.8788	n/a	precentral
LG15	n/a	n/a	n/a	-999	LG	n/a	grid	-57.5314	4.66098	6.73324	n/a	precentral
LG16	n/a	n/a	n/a	-999	LG	n/a	grid	-53.7657	13.7921	1.55419	n/a	parsopercularis
LG17	n/a	n/a	n/a	-999	LG	n/a	grid	-50.9176	-48.6834	46.3806	n/a	supramarginal
LG18	n/a	n/a	n/a	-999	LG	n/a	grid	-58.2635	-39.8119	43.6104	n/a	supramarginal
LG19	n/a	n/a	n/a	-999	LG	n/a	grid	-62.2777	-30.9968	39.7028	n/a	supramarginal
LG20	n/a	n/a	n/a	-999	LG	n/a	grid	-62.96	-22.2383	34.6581	n/a	supramarginal
LG21	n/a	n/a	n/a	-999	LG	n/a	grid	-61.4642	-13.4415	27.3083	n/a	postcentral
LG22	n/a	n/a	n/a	-999	LG	n/a	grid	-59.9268	-4.83268	21.1602	n/a	postcentral
LG23	n/a	n/a	n/a	-999	LG	n/a	grid	-57.2815	3.53341	13.9421	n/a	precentral
LG24	n/a	n/a	n/a	-999	LG	n/a	grid	-54.6322	12.2354	7.76016	n/a	parsopercularis
LG25	n/a	n/a	n/a	-999	LG	n/a	grid	-46.5818	-43.1914	54.9129	n/a	supramarginal
LG26	n/a	n/a	n/a	-999	LG	n/a	grid	-52.8158	-34.2265	52.1088	n/a	postcentral
LG27	n/a	n/a	n/a	-999	LG	n/a	grid	-57.9419	-25.5047	48.235	n/a	supramarginal
LG28	n/a	n/a	n/a	-999	LG	n/a	grid	-58.7032	-16.0344	41.8238	n/a	postcentral
LG29	n/a	n/a	n/a	-999	LG	n/a	grid	-57.1283	-7.94934	35.8406	n/a	postcentral
LG30	n/a	n/a	n/a	-999	LG	n/a	grid	-56.7029	0.566274	29.726	n/a	precentral
LG31	n/a	n/a	n/a	-999	LG	n/a	grid	-55.2404	10.223	23.2475	n/a	precentral
LG32	n/a	n/a	n/a	-999	LG	n/a	grid	-54.815	18.7386	17.1329	n/a	parsopercularis
LG33	n/a	n/a	n/a	-999	LG	n/a	grid	-39.3457	-13.3062	62.594	n/a	precentral
LG34	n/a	n/a	n/a	-999	LG	n/a	grid	-41.1109	-5.8367	55.6753	n/a	precentral
LG35	n/a	n/a	n/a	-999	LG	n/a	grid	-44.0298	1.72751	47.5889	n/a	precentral
LG36	n/a	n/a	n/a	-999	LG	n/a	grid	-46.9403	9.96377	41.575	n/a	precentral
LG37	n/a	n/a	n/a	-999	LG	n/a	grid	-48.743	17.9572	34.4913	n/a	caudalmiddlefrontal
LG38	n/a	n/a	n/a	-999	LG	n/a	grid	-50.5499	25.6147	26.3712	n/a	rostralmiddlefrontal
LG39	n/a	n/a	n/a	-999	LG	n/a	grid	-50.0204	31.8866	18.6792	n/a	rostralmiddlefrontal
LG40	n/a	n/a	n/a	-999	LG	n/a	grid	-49.6075	39.3944	9.45557	n/a	rostralmiddlefrontal
LG41	n/a	n/a	n/a	-999	LG	n/a	grid	-30.7284	-6.68978	66.1859	n/a	precentral
LG42	n/a	n/a	n/a	-999	LG	n/a	grid	-33.6014	1.02263	60.3373	n/a	precentral
LG43	n/a	n/a	n/a	-999	LG	n/a	grid	-37.6281	8.82965	53.3207	n/a	caudalmiddlefrontal
LG44	n/a	n/a	n/a	-999	LG	n/a	grid	-40.5386	17.0659	47.3069	n/a	caudalmiddlefrontal
LG45	n/a	n/a	n/a	-999	LG	n/a	grid	-42.3456	24.7234	39.1868	n/a	caudalmiddlefrontal
LG46	n/a	n/a	n/a	-999	LG	n/a	grid	-44.1483	32.7168	32.103	n/a	rostralmiddlefrontal
