name	x	y	z	size	group	hemisphere	type	wb.region	ind.region	das.region	stein.region
RB1	26.2141	-9.42657	-13.7746	-999	RB	R	depth	Right Hippocampus	n/a	n/a	Right CA1
RB2	31.9793	-10.052	-13.3858	-999	RB	R	depth	Right Hippocampus	n/a	DG	Right CA1
RB3	37.1474	-9.68844	-13.3268	-999	RB	R	depth	Right Hippocampus	n/a	CA1	Right CA1
RB4	42.3381	-10.3542	-12.9446	-999	RB	R	depth	Right Cerebral White Matter	n/a	n/a	n/a
RB5	47.5291	-11.02	-12.5624	-999	RB	R	depth	Right Cerebral White Matter	middletemporal	n/a	n/a
RB6	52.7199	-11.6858	-12.1802	-999	RB	R	depth	Right Cerebral White Matter	middletemporal	n/a	n/a
RB7	57.8526	-10.999	-11.2362	-999	RB	R	depth	Right MTG middle temporal gyrus	middletemporal	n/a	n/a
RB8	63.0434	-11.6648	-10.854	-999	RB	R	depth	Right Cerebral White Matter	middletemporal	n/a	n/a
RB9	68.7972	-11.7756	-10.6268	-999	RB	R	depth	Right MTG middle temporal gyrus	middletemporal	n/a	n/a
RB10	73.9653	-11.4119	-10.5679	-999	RB	R	depth	Right MTG middle temporal gyrus	middletemporal	n/a	n/a
RI3	33.7268	1.76365	-26.9031	-999	RI	R	depth	Right Cerebral White Matter	fusiform	n/a	n/a
RI4	38.2981	3.11617	-27.1739	-999	RI	R	depth	Right Cerebral White Matter	fusiform	n/a	n/a
RI5	42.2595	4.75156	-26.5662	-999	RI	R	depth	Right Cerebral White Matter	fusiform	n/a	n/a
RI6	46.2565	6.06372	-26.8435	-999	RI	R	depth	Right Cerebral White Matter	middletemporal	n/a	n/a
RI7	49.6551	7.14391	-26.0808	-999	RI	R	depth	Right MTG middle temporal gyrus	middletemporal	n/a	n/a
RI8	53.652	8.45608	-26.3582	-999	RI	R	depth	Right MTG middle temporal gyrus	middletemporal	n/a	n/a
RI9	57.6134	10.0914	-25.7505	-999	RI	R	depth	Right Cerebral White Matter	middletemporal	n/a	n/a
RI10	62.1492	11.7672	-25.1363	-999	RI	R	depth	Right TMP temporal pole	middletemporal	n/a	n/a
RC1	21.4309	-28.5106	-6.96892	-999	RC	R	depth	Right Cerebral White Matter	n/a	n/a	n/a
RC2	26.609	-29.8826	-5.37848	-999	RC	R	depth	Right Hippocampus	n/a	SUB	Right Sub
RC3	32.9598	-30.9823	-4.82156	-999	RC	R	depth	Right Hippocampus	n/a	CA1	Right CA1
RC4	38.6894	-31.2846	-3.54778	-999	RC	R	depth	Right Inf Lat Vent	n/a	n/a	n/a
RC5	45.0161	-32.5758	-1.94423	-999	RC	R	depth	Right Cerebral White Matter	bankssts	n/a	n/a
RC6	50.7684	-33.9074	-0.347243	-999	RC	R	depth	Right Cerebral White Matter	bankssts	n/a	n/a
RC7	56.5221	-34.0181	-0.120098	-999	RC	R	depth	Right Cerebral White Matter	bankssts	n/a	n/a
RC8	62.826	-34.28	1.16023	-999	RC	R	depth	Right Cerebral White Matter	bankssts	n/a	n/a
RC9	69.1527	-35.5665	2.85717	-999	RC	R	depth	Right MTG middle temporal gyrus	middletemporal	n/a	n/a
RC10	74.3308	-36.9313	4.59218	-999	RC	R	depth	n/a	middletemporal	n/a	n/a
RT1	39.1975	3.35216	1.5714	-999	RT	R	depth	Right PIns posterior insula	insula	n/a	n/a
RT2	42.643	3.59478	1.61562	-999	RT	R	depth	n/a	insula	n/a	n/a
RT3	45.5495	3.46949	0.681813	-999	RT	R	depth	n/a	superiortemporal	n/a	n/a
RT4	48.995	3.71211	0.726013	-999	RT	R	depth	Right PP planum polare	superiortemporal	n/a	n/a
RT5	51.9015	3.58704	-0.205346	-999	RT	R	depth	Right Cerebral White Matter	superiortemporal	n/a	n/a
RT6	55.3824	3.5062	-1.05105	-999	RT	R	depth	Right STG superior temporal gyrus	superiortemporal	n/a	n/a
RT7	57.1051	3.62749	-1.0314	-999	RT	R	depth	Right STG superior temporal gyrus	superiortemporal	n/a	n/a
RT8	61.7344	3.62746	-1.86401	-999	RT	R	depth	Right STG superior temporal gyrus	superiortemporal	n/a	n/a
RI1	26.3782	-1.46655	-28.1119	-999	RI	R	depth	Right PHG parahippocampal gyrus	entorhinal	n/a	n/a
RI2	30.9138	0.209095	-27.4976	-999	RI	R	depth	Right Cerebral White Matter	n/a	n/a	n/a
RT9	64.6057	3.82947	-1.83124	-999	RT	R	depth	Right STG superior temporal gyrus	superiortemporal	n/a	n/a
RT10	66.938	3.6679	-2.69005	-999	RT	R	depth	n/a	superiortemporal	n/a	n/a
RO1	5.94686	38.6625	-21.6171	-999	RO	R	depth	Right GRe gyrus rectus	medialorbitofrontal	n/a	n/a
RO2	12.1572	40.0763	-18.8899	-999	RO	R	depth	Right Cerebral White Matter	medialorbitofrontal	n/a	n/a
RO3	17.8514	40.0971	-16.731	-999	RO	R	depth	Right MOrG medial orbital gyrus	lateralorbitofrontal	n/a	n/a
RO4	24.0971	41.1878	-14.889	-999	RO	R	depth	Right Cerebral White Matter	lateralorbitofrontal	n/a	n/a
RO5	29.2171	41.1684	-12.7367	-999	RO	R	depth	Right Cerebral White Matter	lateralorbitofrontal	n/a	n/a
RO6	35.4387	42.0676	-9.84794	-999	RO	R	depth	Right Cerebral White Matter	lateralorbitofrontal	n/a	n/a
RO7	40.5359	43.0775	-8.0189	-999	RO	R	depth	Right Cerebral White Matter	parsorbitalis	n/a	n/a
RO8	46.8044	43.1388	-5.85355	-999	RO	R	depth	n/a	parsorbitalis	n/a	n/a
RO9	51.8663	44.4719	-3.13954	-999	RO	R	depth	n/a	rostralmiddlefrontal	n/a	n/a
RO10	58.1119	45.5673	-1.20389	-999	RO	R	depth	n/a	parsorbitalis	n/a	n/a
RL1	36.6137	23.0499	11.048	-999	RL	R	depth	Right Cerebral White Matter	parstriangularis	n/a	n/a
RL2	39.4848	23.252	11.0848	-999	RL	R	depth	Right Cerebral White Matter	parstriangularis	n/a	n/a
RL3	42.9657	23.1671	10.1584	-999	RL	R	depth	Right Cerebral White Matter	lateralorbitofrontal	n/a	n/a
